2020-02-24 14:11:42,190 [main] INFO   LoginTestRunner(27) - Browser :: chrome
2020-02-24 14:11:42,196 [main] INFO   LoginTestRunner(28) - Environment :: YCOM_L1
2020-02-24 14:11:42,355 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-24 14:11:42,357 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome=80 (expired on 2020-02-20 12:57:09)
2020-02-24 14:11:42,360 [main] DEBUG  io.github.bonigarcia.wdm.Shell(55) - Running command on the shell: [wmic, datafile, where, name='C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe', get, Version, /value]
2020-02-24 14:11:42,827 [main] DEBUG  io.github.bonigarcia.wdm.Shell(57) - Result: Version=80.0.3987.106
2020-02-24 14:11:42,828 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(601) - Detected Google Chrome version 80
2020-02-24 14:11:42,829 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-24 14:11:42,829 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome80=80.0.3987.106 (expired on 2020-02-20 12:57:09)
2020-02-24 14:11:42,831 [main] DEBUG  i.g.bonigarcia.wdm.WebDriverManager(685) - Getting driver version for chrome80 from online versions.properties
2020-02-24 14:11:42,831 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(719) - Reading online version.properties to find out driver version
2020-02-24 14:11:42,844 [main] DEBUG  o.a.h.c.protocol.RequestAddCookies(122) - CookieSpec selected: standard
2020-02-24 14:11:42,850 [main] DEBUG  o.a.h.c.protocol.RequestAuthCache(76) - Auth cache not set in the context
2020-02-24 14:11:42,851 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(249) - Connection request: [route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
2020-02-24 14:11:42,866 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(282) - Connection leased: [id: 0][route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2020-02-24 14:11:42,868 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(234) - Opening connection {s}->https://raw.githubusercontent.com:443
2020-02-24 14:11:42,976 [main] DEBUG  o.a.h.i.c.DefaultHttpClientConnectionOperator(138) - Connecting to raw.githubusercontent.com/151.101.64.133:443
2020-02-24 14:11:42,976 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(335) - Connecting socket to raw.githubusercontent.com/151.101.64.133:443 with timeout 0
2020-02-24 14:11:42,989 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(388) - Enabled protocols: [TLSv1, TLSv1.1, TLSv1.2]
2020-02-24 14:11:42,990 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(389) - Enabled cipher suites:[TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_RSA_WITH_AES_256_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384, TLS_DHE_RSA_WITH_AES_256_GCM_SHA384, TLS_DHE_DSS_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_DSS_WITH_AES_128_GCM_SHA256, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]
2020-02-24 14:11:42,990 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(393) - Starting handshake
2020-02-24 14:11:43,027 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(423) - Secure session established
2020-02-24 14:11:43,028 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(424) -  negotiated protocol: TLSv1.2
2020-02-24 14:11:43,028 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(425) -  negotiated cipher suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
2020-02-24 14:11:43,029 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(433) -  peer principal: CN=www.github.com, O="GitHub, Inc.", L=San Francisco, ST=California, C=US
2020-02-24 14:11:43,029 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(442) -  peer alternative names: [www.github.com, *.github.com, github.com, *.github.io, github.io, *.githubusercontent.com, githubusercontent.com]
