2020-02-25 14:34:49,530 [main] INFO   LoginTestRunner(28) - Browser :: chrome
2020-02-25 14:34:49,539 [main] INFO   LoginTestRunner(29) - Environment :: YCOM_L1
2020-02-25 14:34:49,837 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-25 14:34:49,839 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome=80 (expired on 2020-02-25 14:11:43)
2020-02-25 14:34:49,841 [main] DEBUG  io.github.bonigarcia.wdm.Shell(55) - Running command on the shell: [wmic, datafile, where, name='C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe', get, Version, /value]
2020-02-25 14:34:50,136 [main] DEBUG  io.github.bonigarcia.wdm.Shell(57) - Result: Version=80.0.3987.122
2020-02-25 14:34:50,137 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(601) - Detected Google Chrome version 80
2020-02-25 14:34:50,138 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-25 14:34:50,138 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome80=80.0.3987.106 (expired on 2020-02-25 14:11:43)
2020-02-25 14:34:50,140 [main] DEBUG  i.g.bonigarcia.wdm.WebDriverManager(685) - Getting driver version for chrome80 from online versions.properties
2020-02-25 14:34:50,140 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(719) - Reading online version.properties to find out driver version
2020-02-25 14:34:50,150 [main] DEBUG  o.a.h.c.protocol.RequestAddCookies(122) - CookieSpec selected: standard
2020-02-25 14:34:50,155 [main] DEBUG  o.a.h.c.protocol.RequestAuthCache(76) - Auth cache not set in the context
2020-02-25 14:34:50,156 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(249) - Connection request: [route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
2020-02-25 14:34:50,165 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(282) - Connection leased: [id: 0][route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2020-02-25 14:34:50,166 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(234) - Opening connection {s}->https://raw.githubusercontent.com:443
2020-02-25 14:34:50,215 [main] DEBUG  o.a.h.i.c.DefaultHttpClientConnectionOperator(138) - Connecting to raw.githubusercontent.com/151.101.0.133:443
2020-02-25 14:34:50,215 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(335) - Connecting socket to raw.githubusercontent.com/151.101.0.133:443 with timeout 0
2020-02-25 14:34:50,228 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(388) - Enabled protocols: [TLSv1, TLSv1.1, TLSv1.2]
2020-02-25 14:34:50,229 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(389) - Enabled cipher suites:[TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384, TLS_RSA_WITH_AES_256_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384, TLS_DHE_RSA_WITH_AES_256_CBC_SHA256, TLS_DHE_DSS_WITH_AES_256_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA, TLS_ECDH_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_RSA_WITH_AES_128_CBC_SHA256, TLS_DHE_DSS_WITH_AES_128_CBC_SHA256, TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384, TLS_DHE_RSA_WITH_AES_256_GCM_SHA384, TLS_DHE_DSS_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_RSA_WITH_AES_128_GCM_SHA256, TLS_DHE_DSS_WITH_AES_128_GCM_SHA256, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]
2020-02-25 14:34:50,229 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(393) - Starting handshake
2020-02-25 14:34:50,270 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(423) - Secure session established
2020-02-25 14:34:50,270 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(424) -  negotiated protocol: TLSv1.2
2020-02-25 14:34:50,271 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(425) -  negotiated cipher suite: TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
2020-02-25 14:34:50,271 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(433) -  peer principal: CN=www.github.com, O="GitHub, Inc.", L=San Francisco, ST=California, C=US
2020-02-25 14:34:50,271 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(442) -  peer alternative names: [www.github.com, *.github.com, github.com, *.github.io, github.io, *.githubusercontent.com, githubusercontent.com]
2020-02-25 14:34:50,271 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(446) -  issuer principal: CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US
