2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(442) -  peer alternative names: [www.github.com, *.github.com, github.com, *.github.io, github.io, *.githubusercontent.com, githubusercontent.com]
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(446) -  issuer principal: CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.i.c.DefaultHttpClientConnectionOperator(145) - Connection established 192.168.0.6:57555<->151.101.0.133:443
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.i.c.DefaultManagedHttpClientConnection(90) - http-outgoing-0: set socket timeout to 30000
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(255) - Executing request GET /bonigarcia/webdrivermanager/master/src/main/resources/versions.properties HTTP/1.1
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(260) - Target auth state: UNCHALLENGED
2020-03-16 10:35:32,659 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(266) - Proxy auth state: UNCHALLENGED
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.headers(135) - http-outgoing-0 >> GET /bonigarcia/webdrivermanager/master/src/main/resources/versions.properties HTTP/1.1
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.headers(138) - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.6
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.headers(138) - http-outgoing-0 >> Connection: keep-alive
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.headers(138) - http-outgoing-0 >> Host: raw.githubusercontent.com
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.headers(138) - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "GET /bonigarcia/webdrivermanager/master/src/main/resources/versions.properties HTTP/1.1[\r][\n]"
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.6[\r][\n]"
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "Connection: keep-alive[\r][\n]"
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "Host: raw.githubusercontent.com[\r][\n]"
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2020-03-16 10:35:32,659 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 >> "[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Content-Type: text/plain; charset=utf-8[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Content-Security-Policy: default-src 'none'; style-src 'unsafe-inline'; sandbox[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Strict-Transport-Security: max-age=31536000[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Content-Type-Options: nosniff[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Frame-Options: deny[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-XSS-Protection: 1; mode=block[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "ETag: W/"e917a32c181bcfd519f4a6cd9bb035f611f34ba2a4338d99fc0f9968225b3441"[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Cache-Control: max-age=300[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Geo-Block-List:[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Via: 1.1 varnish (Varnish/6.0)[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Content-Encoding: gzip[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-GitHub-Request-Id: 718A:500F:ACC4D:C7983:5E6ECAA7[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Content-Length: 749[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Accept-Ranges: bytes[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Date: Mon, 16 Mar 2020 05:05:32 GMT[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Via: 1.1 varnish[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Connection: keep-alive[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Served-By: cache-maa18324-MAA[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Cache: HIT, HIT[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Cache-Hits: 6, 2[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Timer: S1584335133.702102,VS0,VE0[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Vary: Authorization,Accept-Encoding[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Access-Control-Allow-Origin: *[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "X-Fastly-Request-ID: 08507fe77367e4396bac68993b411824bbd021e3[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Expires: Mon, 16 Mar 2020 05:10:32 GMT[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "Source-Age: 261[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "[\r][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0x3][0x8d][0x95][0xcb][0x8e][0xda]0[0x14][0x86][0xf7]<[0x85][0xa5][0xd9][0xb4][0xb][0x1c][0xdf]b'H[0xde][0xf4][0xba][0x1a]u[0xd1][0xbe]@[0x0][0x3][0xd1][0x84][0x18]9ah[0xfb][0xf4]=[0xbe]N@[0xad][0xd4][0xe5][0xff]q|[0xfc][0xcb]'[0xff][0xe1][0x9][0xfd]8[0xf5][0x13]:[0xf4][0x83]A;;[0xce]]?Nh>[0x19][0xf4]2[0xda][0xdb][0x88]^[0x8d][0x9b]z[0xb][0xe8]`[0x1d][0xda][0xbb][0xde]k[0xf4]n[0xdb][0x8f][0x9d][0xfb][0xf5][0x1e][0xe][0x9c]/[0xdd][0xdc]o[0xe1][0xec][0xad][0x9f]O[0xe1][0xdc][0xce]:g[0xa6][0x8b][0x1d][0xf7][0xfd]xD[go[0x93]q[0xb9][0xcf]j[0xf5][0x84]>D[0xb4]A_[0xad]=[0xc2][0xc9][0x8f]'g[0xcf][0x6][0xad][0xd1][0xa7][0xd0]~[0x83]v[0x1][0xc4][0xcb][0xa0][0xfe][0xbb][0xbd][0xba][0x9d][0xd9][0xa0][0xd3]<_6U[0xb5][0xfc][0x15][0x7][0xd1]_[0xcf][0xd8][0xba]c[0xb5][0x7][0xc3][0x83][0xed][0xf6][0xd3]*[0xd6]4T7[0x14][0x13],[0x88][0x10][0x98][0x91]L[0x89]n[0x8]P[0xde]6[\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "S"[0x13]V[0xad]Vm[0xc0][0xa2][0xc6][0xbc][0xd0]F[0xab]&P"[0xa0][0xb8][0xce][0xc5]J+[0xe5]q#kh[0x9f][0xa9][0xd4]J[0x6]JZLY[0xe9]QkU{[0xac][0x14][0xc1][0xf4][0xad]Zh%[0x2]f-.[0xb5]\+[0xee][0xa1]l8[0x96]Mn[0xcc]4[0xc3][0xa2][0xd4][0xd0];E[0xbc][0xca][0xc6]d[0xeb][0x95]H[0xe7]d[0xe3][0x15][0xcb]JyE[0xb3][0x92]^e[0xeb][0xb2][0x6][0xc5][0xf3]}Rx[0xa5]r%[0xf7]*[0xdf].[0xbd][0x17]^[0xee][0xf3]^x[0xb9][0xcf]{[0xe1][0xfc]n[0xc8][0xcf][0xf6]w?[0xc][0x1d][0xfa][0xd2];s[0xb0]?[0x17]c>[0x9a][0xdd][0x8b][0xfd][0xeb][0x94]'[0x18][0xf3][0x11][0xbe][0xa7][0xeb][0x16][0xc3][0x17]V[0x9d]c[0x8b]jq[0xa0]rf0[0xdd]d[0xa6][0xd5]![0xf6]U\[0x13][0xcc][0xe0][0xf5][0xb]`[0x8f][0x80]>[0x2][0xf2][0x0][0xe0][0xf1][0xee]{[0xc0][0xfb][0x1][0x80][0xd9][0xe5][0xa6]Ry[0x0]S+@>[0x82][0xfa][0x11][0x8][0xf]`[0xa6][0xe5]Hp[0xba][0x4][0xc1])[T[0x4][0xa7][0xf0][0xe5][0x96]#[0xc1][0xe9][0x2][0xd4][0xc1][0xe9][0x12][0x4][0xa7]K[0x10][0x9c].Ap[\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "[0x1f]~nZ[0x7][0xa7][0x1e],3[0xf9][0xed]b\[0xb7][0x18][0x92][0xf5][0xfa][0x86][0x14][\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "'{[0x98]o[0x9d]3UP9[0x9c][0xf1][0xf8][0xdb][0xc8][0xc2][0x8f][0xf0][0x94][0xcb][0x18][0x92]U[0xa4][0x10][0xa1][0x92]B[0xd5]&[0x8][0x1]*!lT[0x82][0x10][0x9f][0x12]A[\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "[0xe9][0x8e][0xe7]!?o[0x11][0xe4],Q[0xb6]L [0xc9][0xb5])9[0xe1] [0xbc]h[0x88]Q[0x14])7Q[0xa4][0xd8]D[0x91]R[0x13]E[\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(72) - http-outgoing-0 << "M[0x14])3Q[0xa4][0xc8]D[0x91][0x12][0x13]E[0x8][0xc]O[0xf7][0xa4][0xbc][0x84]_[0x84]w[0x90][0x1d][0xb][0xef][0x80]'[0xa3][0xc2];`[0xe9]1[0x84]w[0x0]b9[0xb4][0xe7]~[0xe7][0xac]{[0xf4]y\n[0xd2][0xf3]d[0x0][0xfc]s|{[0xf3]j[0x6]9>[0xe7][0xe]!pf\_[0xa7][0xaa][0xb0][0xb5]oR[0xcd][0xd6][0xe]Su3[0xdb]4[0xce][0x95][0xa7]e[0xc5]R[0x89]9[0x8d]([0xef]WI[0xb1][0x94][0x1][0x95][0xdd]J[0xfd]g[0x1f]H[0xda][0xab][0xcc][0xcf]0[0x92][0xb4]R[0x19]/$[0xad]S[\n]"
2020-03-16 10:35:32,675 [main] DEBUG  org.apache.http.wire(86) - http-outgoing-0 << "[0xab]0[0xd5][0xa4]MJy[0xeb][0xf7][0xb9]o$[0x84][0xbe]8[0xb3][0x86]?[0xad][0xb9][0x1b][0x6][0xb3][0x8f][0x90]i[0x89][0xa9][0xa2][0xb0][0x98]B[\r][0xd5]5[0xa6][0x92][0xb5]m[0x94]D[0xc3].[0xaf][0x89][0xe4]A[0xf2]FsX[0xcb][0xbc][0x8d][0x92][0xf9][0xa1][0xc2][0xa6]o[0xa2]uF4[0x5][0xc9]`S[0xfe][0x1][0xad][0xbb][0xa0]|*[0x7][0x0][0x0]"
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(124) - http-outgoing-0 << HTTP/1.1 200 OK
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Content-Type: text/plain; charset=utf-8
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Content-Security-Policy: default-src 'none'; style-src 'unsafe-inline'; sandbox
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Strict-Transport-Security: max-age=31536000
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Content-Type-Options: nosniff
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Frame-Options: deny
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-XSS-Protection: 1; mode=block
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << ETag: W/"e917a32c181bcfd519f4a6cd9bb035f611f34ba2a4338d99fc0f9968225b3441"
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Cache-Control: max-age=300
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Geo-Block-List:
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Via: 1.1 varnish (Varnish/6.0)
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Content-Encoding: gzip
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-GitHub-Request-Id: 718A:500F:ACC4D:C7983:5E6ECAA7
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Content-Length: 749
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Accept-Ranges: bytes
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Date: Mon, 16 Mar 2020 05:05:32 GMT
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Via: 1.1 varnish
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Connection: keep-alive
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Served-By: cache-maa18324-MAA
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Cache: HIT, HIT
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Cache-Hits: 6, 2
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Timer: S1584335133.702102,VS0,VE0
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Vary: Authorization,Accept-Encoding
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Access-Control-Allow-Origin: *
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << X-Fastly-Request-ID: 08507fe77367e4396bac68993b411824bbd021e3
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Expires: Mon, 16 Mar 2020 05:10:32 GMT
2020-03-16 10:35:32,690 [main] DEBUG  org.apache.http.headers(127) - http-outgoing-0 << Source-Age: 261
2020-03-16 10:35:32,690 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(284) - Connection can be kept alive indefinitely
2020-03-16 10:35:32,690 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(314) - Connection [id: 0][route: {s}->https://raw.githubusercontent.com:443] can be kept alive indefinitely
2020-03-16 10:35:32,690 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(320) - Connection released: [id: 0][route: {s}->https://raw.githubusercontent.com:443][total kept alive: 1; route allocated: 1 of 2; total allocated: 1 of 20]
2020-03-16 10:35:32,690 [main] INFO   i.g.bonigarcia.wdm.WebDriverManager(615) - Using chromedriver 80.0.3987.106 (since Google Chrome 80 is installed in your machine)
2020-03-16 10:35:32,690 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(66) - Storing preference chrome=80 (valid until 2020-03-17 10:35:32)
2020-03-16 10:35:32,690 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(536) - Managing chromedriver arch=64 version=80.0.3987.106 getLatest=false cache=false
2020-03-16 10:35:32,690 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(868) - Checking if chromedriver exists in cache
2020-03-16 10:35:32,690 [main] TRACE  io.github.bonigarcia.wdm.Downloader(116) - Target path C:\Users\kongara.sravan/.m2/repository/webdriver
2020-03-16 10:35:32,706 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(920) - Filter cache by chromedriver -- input list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.105\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.11\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.70\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\79.0.3945.36\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.16\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\geckodriver\win64\0.26.0\geckodriver.exe] -- output list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.105\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.11\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.70\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\79.0.3945.36\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.16\chromedriver.exe] 
2020-03-16 10:35:32,706 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(920) - Filter cache by 80.0.3987.106 -- input list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.105\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.11\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\78.0.3904.70\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\79.0.3945.36\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe, C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.16\chromedriver.exe] -- output list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe] 
2020-03-16 10:35:32,706 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(920) - Filter cache by WIN -- input list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe] -- output list [C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe] 
2020-03-16 10:35:32,706 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-03-16 10:35:32,721 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(66) - Storing preference chrome80=80.0.3987.106 (valid until 2020-03-17 10:35:32)
2020-03-16 10:35:32,721 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-03-16 10:35:32,721 [main] DEBUG  i.g.bonigarcia.wdm.WebDriverManager(564) - Driver chromedriver 80.0.3987.106 found in cache
2020-03-16 10:35:32,721 [main] INFO   i.g.bonigarcia.wdm.WebDriverManager(1113) - Exporting webdriver.chrome.driver as C:\Users\kongara.sravan\.m2\repository\webdriver\chromedriver\win32\80.0.3987.106\chromedriver.exe
2020-03-16 10:35:37,204 [main] INFO   com.yodlee.core.base.CoreBasePage(31) - **********************************************
2020-03-16 10:35:37,205 [main] INFO   com.yodlee.core.base.CoreBasePage(32) - Scenario :: 'To login to wellness regular environment' has started
2020-03-16 10:35:38,188 [main] INFO   com.yodlee.core.base.CoreBasePage(84) - Logical name : LoginPage.Username ---- Value Entered: wr6
