2020-02-19 12:57:08,373 [main] INFO   LoginTestRunner(27) - Browser :: chrome
2020-02-19 12:57:08,379 [main] INFO   LoginTestRunner(28) - Environment :: YCOM_L1
2020-02-19 12:57:08,522 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-19 12:57:08,524 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome=80 (expired on 2020-02-19 12:56:49)
2020-02-19 12:57:08,527 [main] DEBUG  io.github.bonigarcia.wdm.Shell(55) - Running command on the shell: [wmic, datafile, where, name='C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe', get, Version, /value]
2020-02-19 12:57:08,801 [main] DEBUG  io.github.bonigarcia.wdm.Shell(57) - Result: Version=80.0.3987.106
2020-02-19 12:57:08,801 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(601) - Detected Google Chrome version 80
2020-02-19 12:57:08,802 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-02-19 12:57:08,803 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome80=80.0.3987.106 (expired on 2020-02-19 12:56:49)
2020-02-19 12:57:08,804 [main] DEBUG  i.g.bonigarcia.wdm.WebDriverManager(685) - Getting driver version for chrome80 from online versions.properties
2020-02-19 12:57:08,805 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(719) - Reading online version.properties to find out driver version
2020-02-19 12:57:09,475 [main] INFO   i.g.bonigarcia.wdm.WebDriverManager(615) - Using chromedriver 80.0.3987.106 (since Google Chrome 80 is installed in your machine)
2020-02-19 12:57:09,477 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(66) - Storing preference chrome=80 (valid until 2020-02-20 12:57:09)
2020-02-19 12:57:09,477 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(536) - Managing chromedriver arch=64 version=80.0.3987.106 getLatest=false cache=false
2020-02-19 12:57:09,477 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(868) - Checking if chromedriver exists in cache
2020-02-19 12:57:09,478 [main] TRACE  io.github.bonigarcia.wdm.Downloader(116) - Target path C:\Users\kongara.sravan/.m2/repository/webdriver
